name,image,category,sub_category,sub_category_id
"(Buy 1 Get 1) Cleo Grow Moisturizing Conditioner, 200 ml + 2 Free Samples",https://www.yodawy.com/wp-content/uploads/2021/02/713401-350x350.jpg,Hair Care,Conditioner,1
"Anivagene Restructuring Hair Conditioner, 125Ml",https://www.yodawy.com/wp-content/uploads/woocommerce-placeholder.png,Hair Care,Conditioner,1
"Atrakta Dandr Of Hair Mask Anti-Dandruff And Prevents Flakes Appearence, 100 Gm",https://www.yodawy.com/wp-content/uploads/2021/02/6224007384404-350x350.jpg,Hair Care,Conditioner,1
"Bio Balance Argan Oil Conditioner For Damaged Hair, 150Ml",https://www.yodawy.com/wp-content/uploads/2021/02/8697711700354-350x350.jpg,Hair Care,Conditioner,1
"Bio Balance Argan Oil Conditioner For Damaged Hair, 330Ml",https://www.yodawy.com/wp-content/uploads/2021/02/8697711700224-350x350.jpg,Hair Care,Conditioner,1
"Bioblas Anti Hair loss liquid Conditioner for Lifeless and dull hair, 200 Ml",https://www.yodawy.com/wp-content/uploads/2021/02/8680512628071-1-171x350.jpg,Hair Care,Conditioner,1
"Bioblas Anti-hair Loss Argan Oil Conditioner, 200 Ml",https://www.yodawy.com/wp-content/uploads/2020/12/202005100114-350x350.jpg,Hair Care,Conditioner,1
"Bioblas Anti-hair Loss Argan Oil Liquid Conditioner, 200 Ml",https://www.yodawy.com/wp-content/uploads/2020/12/202005101123-350x350.png,Hair Care,Conditioner,1
"Blends Anti Frizz Conditioner For Split Hair, 400Ml",https://www.yodawy.com/wp-content/uploads/2021/02/6224008311515-350x350.jpg,Hair Care,Conditioner,1
"Blends Everyday Moisture Conditioner For Very Dry Hair, 400Ml",https://www.yodawy.com/wp-content/uploads/2021/02/6224008311300-350x350.jpg,Hair Care,Conditioner,1
"Blends Extra Volume Conditioner For Fine Hair, 400Ml",https://www.yodawy.com/wp-content/uploads/2021/02/6224008311119-350x350.jpg,Hair Care,Conditioner,1
"Blends Rich&Smooth Conditioner For Damaged Hair, 400Ml",https://www.yodawy.com/wp-content/uploads/2021/02/6224008311096-350x350.jpg,Hair Care,Conditioner,1
"Blends Silky Soft Conditioner For Dry Hair, 400Ml",https://www.yodawy.com/wp-content/uploads/2021/02/6224008311126-350x350.jpg,Hair Care,Conditioner,1
